timestamp,open (MYR),high (MYR),low (MYR),close (MYR),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2022-06-01,141641.87670000,142452.14838000,130506.65400000,132755.16682000,31801.05000000,31982.97000000,29301.00000000,29805.83000000,103395.63382000,103395.63382000
2022-05-31,141344.26042000,144305.14600000,138964.84454000,141641.83216000,31734.23000000,32399.00000000,31200.01000000,31801.04000000,62433.11632000,62433.11632000
2022-05-30,131250.91740000,143516.78800000,130500.50748000,141344.21588000,29468.10000000,32222.00000000,29299.62000000,31734.22000000,96785.94760000,96785.94760000
2022-05-29,129305.54382000,131783.97212000,128449.84134000,131250.91740000,29031.33000000,29587.78000000,28839.21000000,29468.10000000,27567.34764000,27567.34764000
2022-05-28,127517.17374000,130350.76400000,126716.30000000,129305.54382000,28629.81000000,29266.00000000,28450.00000000,29031.33000000,34479.35127000,34479.35127000
2022-05-27,130062.81290000,130937.17764000,125972.03660000,127517.12920000,29201.35000000,29397.66000000,28282.90000000,28629.80000000,90998.52010000,90998.52010000
2022-05-26,131580.69156000,133115.09456000,124799.12024000,130062.81290000,29542.14000000,29886.64000000,28019.56000000,29201.35000000,94581.65463000,94581.65463000
2022-05-25,132081.49932000,134616.53796000,130476.41134000,131580.73610000,29654.58000000,30223.74000000,29294.21000000,29542.15000000,59537.38659000,59537.38659000
2022-05-24,129652.10956000,132933.46044000,127691.72600000,132081.49932000,29109.14000000,29845.86000000,28669.00000000,29654.58000000,59442.96036000,59442.96036000
2022-05-23,134929.16422000,136606.45154000,128570.72290000,129652.15410000,30293.93000000,30670.51000000,28866.35000000,29109.15000000,63901.49932000,63901.49932000
2022-05-22,131148.34178000,135793.50746000,130302.25994000,134929.20876000,29445.07000000,30487.99000000,29255.11000000,30293.94000000,36158.98748000,36158.98748000
2022-05-21,130061.29854000,132088.62572000,128931.18512000,131148.29724000,29201.01000000,29656.18000000,28947.28000000,29445.06000000,20987.13124000,20987.13124000
